Activity,Average Speed (km/h),Max Speed (km/h),Avg HR,Max HR,Avg Run Cadence,Total Ascent,Total Descent,Moving Time,Elapsed Time,Distance,Low Aerobic (%),High Aerobic (%),Anaerobic (%),Max Distance,Marathon Time (s),Age,Weight,Gender,index
136,10.71,25.71,155.33,201,174.71,3794,4388,484364,504351,1455.89,71.32,19.12,9.56,34.33,12103,21,52.5,1,1
109,9.18,16.74,139.44,178,174.85,2736,2613,472383,487742,1121.84,88.17,11.83,0,42.84,14076,41,65,1,2
79,9.43,19.57,131.92,174,170.3,1283,1786,351528,379528,960.05,67.09,20.25,12.66,42.84,12394,43,68,1,3
97,9.98,15.72,135.56,212,168.09,2113,3370,466172,484982,1032.97,82.78,15.15,2.06,42.11,14322,40,50,0,4
144,11.17,16.67,151,188,174.88,5785,5742,611543,613210,2187,75,19,6,32,11088,33,61.5,1,5
115,10.45,13.7,157,183,179.54,4577,4643,489804,489364,1761,70,27,3,31,13658,29,21,0,6
144,11.53,15.91,149,182,177.1,5707,5728,612492,612275,2195,77,15,8,33,10741,33,62,1,7
115,10.1,14.32,153,177,179.27,4548,4740,490042,490125,1757,70,21,9,31,13588,29,49,0,8
144,10.96,16.61,148,182,174.38,5776,5711,611795,611566,2194,80,20,0,38,10897,35,61,1,9
115,9.66,14.23,155,178,180.23,4588,4694,489968,489010,1761,71,17,12,33,13699,25,68,1,10
144,10.86,16.67,148,187,177.44,5675,5745,612347,612113,2192,77,20,3,41,10292,27,56,1,11
115,10.37,13.57,158,180,180.78,4648,4729,489810,490801,1751,85,13,2,25,13578,30,48,0,12
144,11.4,16.26,148,187,175.98,5851,5734,612892,612954,2196,78,18,4,37,10405,30,61.5,1,13
115,10.21,13.62,151,175,178.39,4650,4680,490427,498958,1753,85,11,4,29,14124,25,55,0,14
144,10.82,16.76,149,187,176.16,5728,5789,612988,612549,2188,79,17,4,34,10605,30,62,1,15
115,10.47,14.12,152,178,181.96,4481,4607,490094,490394,1753,86,14,0,25,14156,29,51,0,16
144,11.63,16.23,153,180,174.26,5752,5792,612567,611572,2202,75,24,1,32,11156,33,61.5,1,17
115,9.71,13.56,157,182,180.07,4654,4753,489488,489572,1750,71,25,4,29,13848,29,50,0,18
144,10.98,16.21,152,183,177.21,5735,5789,612462,612153,2193,75,19,6,36,10308,33,62,1,19
115,9.68,13.83,151,180,180.96,4613,4761,489028,490163,1749,86,14,0,32,13101,29,48,0,20
144,11.1,16.63,148,187,176.49,5803,5814,613116,613061,2201,80,14,6,32,11204,21,61.5,1,21
115,10.02,14.14,153,178,180.81,4638,4704,489985,490001,1754,71,20,9,30,13268,29,55,0,22
144,11.23,16.79,149,182,175.14,5745,5834,612609,613083,2185,77,20,3,36,10298,33,59,1,23
115,9.79,13.97,155,183,179.17,4644,4795,489854,489395,1765,86,12,2,28,14134,29,51,0,24
144,11.41,16.02,157,182,176.94,5688,5757,611797,611855,2197,77,17,6,33,10409,33,61.5,1,25
115,9.64,14.21,156,183,181.24,4528,4713,490166,489748,1761,71,20,9,26,13161,25,48,0,26
144,11.09,16.66,154,181,177.17,5706,5774,612033,612294,2197,77,15,8,38,10890,33,61.5,1,27
115,9.87,14.06,154,176,181.65,4553,4756,490076,490304,1759,85,13,2,29,13102,22,53,0,28
144,11.26,16.67,154,181,175.75,5849,5819,612586,613358,2187,73,19,8,33,10396,33,58,1,29
115,10.29,13.99,158,180,180.01,4656,4763,490158,489944,1751,90,10,0,29,14104,29,53,0,30
144,11,16.42,148,182,176.89,5803,5720,612132,611786,2202,75,13,12,33,10863,25,51,1,31
115,10.01,13.93,156,183,180.6,4635,4763,489154,490916,1764,90,6,4,25,13062,29,48,0,32
144,11.39,15.93,155,183,176.51,5744,5837,613266,611747,2189,71,18,11,33,10684,24,61.5,1,33
115,9.55,13.61,155,175,181.18,4498,4700,489577,489109,1760,70,23,7,26,13773,29,52,0,34
144,11.41,15.93,151,183,177.26,5759,5851,612150,611904,2186,77,18,5,33,10362,33,64,1,35
